      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1819e-khasid.psd:D dem
     37 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1819e-perl.psd:D dem
     21 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1834e-elmale.psd:D dem
     62 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1834e-ukraine-2.psd:D dem
     37 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1848e-judah.psd:D dem
     58 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1910e-grine-felder.psd:D dem
     46 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1927e-shatzky-teshuat.psd#:D dem
     46 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1927e-shatzky-teshuat.psd:D dem
     11 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1927e-zaretski-sholem.psd:D dem
     19 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-weinreich-kines.psd:D dem
     28 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-weinreich-messiah.psd:D dem
     15 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1928e-zaretski-mendele.psd:D dem
     25 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-ukraine.psd:D dem
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-vaad.psd:D dem
     11 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-rubashov.psd:D dem
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-tsherikover.psd:D dem
     14 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-weinreich-shpotlider.psd:D dem
     19 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1932e-shtif.psd:D dem
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1944e-biokhemie.psd:D dem
    152 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1946e-mark.psd:D dem
    550 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1947e-royte-pomerantsen.psd#:D dem
    550 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1947e-royte-pomerantsen.psd:D dem
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1959e-niger-sarah.psd:D dem
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/19xxe-argentine.psd:D dem
    101 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1xxxx-court-testimony.psd:D dem
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1834e-elmale.psd:D dem_dozign
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-ukraine.psd:D dem_dozikn
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1959e-niger-sarah.psd:D dem_dozikn
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-rubashov.psd:D demdozikn
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1932e-shtif.psd:D demdozikn
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-ukraine.psd:D demzelbikn
     59 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1507w-bovo.psd:D den
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1518w-goetz.psd:D den
      7 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1534e-anshel.psd:D den
     20 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir-preface.psd:D den
     70 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1579e-shir.psd#:D den
     70 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd:D den
     19 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd:D den
      5 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1589e-ester-preface.psd:D den
     20 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1589e-ester.psd:D den
     10 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1590e-sam-hayyim.psd:D den
     10 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1600e-magid-preface.psd:D den
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1600e-magid.psd:D den
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1600e-tsenerene.psd:D den
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1619w-letters-prague.psd:D den
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1-preface.psd:D den
     26 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1.psd:D den
     11 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1624e-magen.psd:D den
     11 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1648w-kine.psd:D den
     16 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1666w-messiah.psd:D den
     32 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1675e-ashkenaz-un-polak.psd:D den
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1677w-witzenhausen.psd:D den
     29 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1692e-vilna.psd:D den
